epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,38620,0.84342,0.47746,0.9976,0.96976,0.9778,0.98612,0.7058,1.12182,0.47281,1.10864,0.0006536,0.0006536,0.0006536
70,38879.2,0.83019,0.46304,0.99932,0.94697,0.96341,0.98082,0.6955,1.15266,0.50235,1.11474,0.0006338,0.0006338,0.0006338
71,39137.6,0.81219,0.45971,0.98826,0.95285,0.95122,0.98091,0.70785,1.09867,0.46984,1.09883,0.000614,0.000614,0.000614
72,39396,0.82901,0.45183,0.99462,0.93554,0.9734,0.98156,0.70099,1.11543,0.46771,1.13104,0.0005942,0.0005942,0.0005942
73,39654.8,0.84069,0.46468,1.00152,0.958,0.97348,0.98227,0.7113,1.10405,0.45507,1.11824,0.0005744,0.0005744,0.0005744
74,39913.7,0.80945,0.45481,0.98916,0.96875,0.97561,0.98534,0.72111,1.09684,0.43846,1.11432,0.0005546,0.0005546,0.0005546
75,40172.9,0.82554,0.4527,1.00064,0.97887,0.98171,0.98708,0.71012,1.10832,0.4562,1.12245,0.0005348,0.0005348,0.0005348
76,40432,0.83733,0.47629,0.99796,0.96827,0.96951,0.98186,0.69403,1.12195,0.48701,1.11557,0.000515,0.000515,0.000515
77,40701.6,0.80941,0.44322,0.98229,0.96055,0.96951,0.9829,0.6966,1.14052,0.45847,1.117,0.0004952,0.0004952,0.0004952
78,41017.2,0.79161,0.43548,0.97793,0.96684,0.95732,0.98241,0.69737,1.09824,0.44847,1.11187,0.0004754,0.0004754,0.0004754
79,41281.9,0.78778,0.43962,0.97151,0.963,0.95212,0.98164,0.70848,1.12361,0.45321,1.12125,0.0004556,0.0004556,0.0004556
80,41539.7,0.79006,0.43868,0.97356,0.96381,0.97427,0.98293,0.69804,1.10861,0.45318,1.11702,0.0004358,0.0004358,0.0004358
81,41797.1,0.80021,0.42897,0.98049,0.95755,0.97561,0.98122,0.70651,1.10811,0.44776,1.12107,0.000416,0.000416,0.000416
82,42055.1,0.77855,0.42866,0.97663,0.96319,0.96341,0.984,0.7189,1.09151,0.44913,1.107,0.0003962,0.0003962,0.0003962
83,42312.8,0.79956,0.43604,0.98377,0.95222,0.97224,0.98076,0.70775,1.09333,0.44101,1.09249,0.0003764,0.0003764,0.0003764
84,42570.2,0.7818,0.42395,0.9786,0.959,0.97561,0.98546,0.70549,1.10443,0.43279,1.10795,0.0003566,0.0003566,0.0003566
85,42828,0.7602,0.41646,0.96445,0.96924,0.96951,0.98575,0.72224,1.09557,0.43223,1.09973,0.0003368,0.0003368,0.0003368
86,43085.5,0.77478,0.42372,0.96893,0.96213,0.97561,0.98546,0.72743,1.09431,0.42676,1.10033,0.000317,0.000317,0.000317
87,43343.1,0.76383,0.41301,0.9711,0.96952,0.96984,0.9867,0.71344,1.12883,0.44481,1.12799,0.0002972,0.0002972,0.0002972
88,43601.6,0.779,0.42405,0.97925,0.96707,0.95732,0.98102,0.71241,1.08481,0.44145,1.09953,0.0002774,0.0002774,0.0002774
89,43860.2,0.7681,0.42006,0.96826,0.96849,0.97561,0.9845,0.71905,1.07389,0.41931,1.09644,0.0002576,0.0002576,0.0002576
90,44118,0.76602,0.40955,0.96755,0.96877,0.96951,0.98282,0.72037,1.08099,0.43255,1.09484,0.0002378,0.0002378,0.0002378
91,44378.4,0.7214,0.36854,0.94727,0.9638,0.97561,0.98118,0.70495,1.09547,0.43105,1.1213,0.000218,0.000218,0.000218
92,44642.3,0.6957,0.34817,0.94261,0.97165,0.96341,0.98319,0.71916,1.07151,0.43787,1.08897,0.0001982,0.0001982,0.0001982
93,44927.3,0.69149,0.43207,0.92487,0.97528,0.96217,0.97968,0.71045,1.0999,0.43851,1.11207,0.0001784,0.0001784,0.0001784
94,45239.6,0.69285,0.3459,0.93627,0.97515,0.96951,0.98344,0.72289,1.09653,0.42766,1.11647,0.0001586,0.0001586,0.0001586
95,45552.3,0.68705,0.33995,0.9328,0.97321,0.96341,0.98215,0.72417,1.09554,0.42695,1.11187,0.0001388,0.0001388,0.0001388
96,45867.4,0.67522,0.3395,0.92837,0.97417,0.96341,0.9825,0.71846,1.08503,0.42468,1.10664,0.000119,0.000119,0.000119
97,46181.5,0.68323,0.3425,0.93272,0.97544,0.96879,0.98365,0.72425,1.08191,0.42275,1.10575,9.92e-05,9.92e-05,9.92e-05
98,46495.3,0.66751,0.33492,0.92439,0.97429,0.96341,0.98353,0.72519,1.08886,0.42434,1.11077,7.94e-05,7.94e-05,7.94e-05
99,46806.3,0.67159,0.33222,0.92873,0.97407,0.96341,0.98405,0.72034,1.08167,0.42069,1.10745,5.96e-05,5.96e-05,5.96e-05
100,47115.8,0.6682,0.33429,0.92428,0.9739,0.96341,0.98389,0.7254,1.07744,0.41836,1.10515,3.98e-05,3.98e-05,3.98e-05
